,tweets,os,cleaned,english,len,sw_removed,stemmed
3813,@XfinitySupport any reason why NFL network is not working on Roku or Fire stick. Other channels work. Works in iPhone app just fine as well.,9.4,xfinitysupport any reason why nfl network is not working on roku or fire stick other channels work works in iphone app just fine as well,any reason why network is not working on or fire stick other work works in just fine as well,19,reason network working fire stick work works fine well,reason network work fire stick work work fine well
3816,They need to make tv remotes with a gps tracker thru an app or something. Cause I be loosing my Roku remote so much I finally lost it for good lol.,9.4,they need to make tv remotes with a gps tracker thru an app or something cause i be loosing my roku remote so much i finally lost it for good lol,they need to make with a tracker an or something cause i be loosing my remote so much i finally lost it for good,24,need make tracker something cause loosing remote much finally lost good,need make tracker someth caus loos remot much final lost good
3818,"You can now watch a couple of @TheMissMisery's films I worked on, Doll Murder Spree (exec producer &amp; 1st AD), and Forgotten Tales (actress) on @Tubi TV a Fox Broadcasting Company Available on ROKU and COMCAST XFINITY. Thank you Jeffrey A. Swanson / SGL Entertainment. #womeninfilm https://t.co/wmbUgkd0Ou",9.4,you can now watch a couple of themissmisery s films i worked on doll murder spree exec producer amp st ad and forgotten tales actress on tubi tv a fox broadcasting company available on roku and comcast xfinity thank you jeffrey a swanson sgl entertainment womeninfilm https t co wmbugkd ou,you can now watch a couple of s i worked on doll murder spree producer st ad and forgotten tales actress on a fox company available on and thank you a entertainment t,33,watch couple worked doll murder spree producer st ad forgotten tales actress fox company available thank entertainment,watch coupl work doll murder spree produc st ad forgotten tale actress fox compani avail thank entertain
3820,"@jreuter67 Definitely did not see that, just saw him throw a guy from the scrum. I'm on. Roku, replay is not really easy to do. I've seen a lot of sticks after the whistle though, refs should keep calling it.",9.4,jreuter definitely did not see that just saw him throw a guy from the scrum i m on roku replay is not really easy to do i ve seen a lot of sticks after the whistle though refs should keep calling it,definitely did not see that just saw him throw a guy from the scrum i m on replay is not really easy to do i seen a lot of sticks after the whistle though should keep calling it,38,definitely see saw throw guy scrum replay really easy seen lot sticks whistle though keep calling,definit see saw throw guy scrum replay realli easi seen lot stick whistl though keep call
3822,"Calling technical assistance on the Twittersphere? 
 

 My Roku TV audio has suddenly gone out of sync with the video. No adjustments on the audio in the settings.
 

 Any suggestions? Mucho gracias.",9.4,calling technical assistance on the twittersphere my roku tv audio has suddenly gone out of sync with the video no adjustments on the audio in the settings any suggestions mucho gracias,calling technical assistance on the my audio suddenly gone out of sync with the video no on the audio in the any,22,calling technical assistance audio suddenly gone sync video audio,call technic assist audio suddenli gone sync video audio
3823,@E_Glo Iâ€™ve had Apple TV and Roku and the Apple TV does not do anything to justify the price difference!,9.4,e glo i ve had apple tv and roku and the apple tv does not do anything to justify the price difference,e i had apple and and the apple does not do anything to justify the price difference,17,apple apple anything justify price difference,appl appl anyth justifi price differ
3824,"Well, FuboTV support totally blows. Has anyone been able to figure out how to add the PAC-12 add on through Roku?",9.4,well fubotv support totally blows has anyone been able to figure out how to add the pac add on through roku,well support totally anyone been able to figure out how to add the pac add on through,17,well support totally anyone able figure add pac add,well support total anyon abl figur add pac add
3825,"@E_Glo I have an Amazon TV and donâ€™t have issues, if you switch Iâ€™d say just avoid Roku, they always seem to have fights with carriers over having their app",9.4,e glo i have an amazon tv and don t have issues if you switch i d say just avoid roku they always seem to have fights with carriers over having their app,e i have an and don t have if you switch i d say just avoid they always seem to have with over their,24,switch say avoid always seem,switch say avoid alway seem
3829,I've used @roku for years and have had my share of issues with various apps but the @AppleTV app takes the cake. In the month that I've had it it's glitched more than any other streaming app I use. #POS,9.4,i ve used roku for years and have had my share of issues with various apps but the appletv app takes the cake in the month that i ve had it it s glitched more than any other streaming app i use pos,i used for and have had my share of with various but the the cake in the month that i had it it s more than any other streaming i use,31,used share various cake month streaming,use share variou cake month stream
3831,@Roku and @Google @Youtube y'all need to play nice. Cause the two of you together make an amazing team but the feud has to stop. Sorry Roku but if YouTube leaves I'm out. Chromecast all the way.,9.4,roku and google youtube y all need to play nice cause the two of you together make an amazing team but the feud has to stop sorry roku but if youtube leaves i m out chromecast all the way,and y all need to play nice cause the two of you together make an amazing team but the feud to stop sorry but if leaves i m out all the way,32,need play nice cause two together make amazing team feud stop sorry leaves way,need play nice caus two togeth make amaz team feud stop sorri leav way
3832,"@Roku I don't have memory cards and sometimes have to reload the channel. Will I still be able to do that?
 https://t.co/AFKvfZF1W3",9.4,roku i don t have memory cards and sometimes have to reload the channel will i still be able to do that https t co afkvfzf w,i don t have memory and sometimes have to reload the channel will i still be able to do that t w,22,memory sometimes reload channel still able,memori sometim reload channel still abl
3834,@Roku You guys and YouTube Tv need to grow up and get a deal done. The customer suffers and it's BS. I like Roku but I will tell people and friends to get a new TV since you guys are not having YTTV on it.,9.4,roku you guys and youtube tv need to grow up and get a deal done the customer suffers and it s bs i like roku but i will tell people and friends to get a new tv since you guys are not having yttv on it,you and need to grow up and get a deal done the customer and it s i like but i will tell people and to get a new since you are not on it,34,need grow get deal done customer like tell people get new since,need grow get deal done custom like tell peopl get new sinc
3836,"Tempo podwyÅ¼ek i zasÅ‚yszane plotki o tym, Å¼e Pan minister daje pracowaÄ‡ urzÄ™dnikom i nie narzuca swoich rozwiÄ…zaÅ„, sprawiajÄ… Å¼e trochÄ™ szkoda, Å¼e nie jest na czele naszego branÅ¼owego resortu.
 

 Tak o kilka stÃ³wek i nagrody co roku dla nauczycieli wszystkich szczebli to byÅ‚oby coÅ›. https://t.co/bpGmjad8er",9.4,tempo podwy ek i zas yszane plotki o tym e pan minister daje pracowa urz dnikom i nie narzuca swoich rozwi za sprawiaj e troch szkoda e nie jest na czele naszego bran owego resortu tak o kilka st wek i nagrody co roku dla nauczycieli wszystkich szczebli to by oby co https t co bpgmjad er,tempo i o e pan minister i za e e jest na bran o st i to by t er,20,tempo pan minister za jest na bran st er,tempo pan minist za jest na bran st er
3838,"@ZacksTrades Im so behind the times. I still donâ€™t know anyone who has roku except on Twitter.
 

 I donâ€™t even know what is in my Samsung tv",9.4,zackstrades im so behind the times i still don t know anyone who has roku except on twitter i don t even know what is in my samsung tv,so behind the times i still don t know anyone who except on twitter i don t even know what is in my,23,behind times still know anyone except twitter even know,behind time still know anyon except twitter even know
3840,"We just got done recording 2 FULL EPISODES of my new Toning By Teddy Roku TV SHOW... I'm tireeeed Boss.  I'm LITERALLY smiling with my EYES closed
 

  #Sleep #tired #smile #smiles #jokes #tv #laugh #laughing #blessed #thankful #ToningByTeddy https://t.co/IoBJ32sRH9",9.4,we just got done recording full episodes of my new toning by teddy roku tv show i m tireeeed boss i m literally smiling with my eyes closed sleep tired smile smiles jokes tv laugh laughing blessed thankful toningbyteddy https t co iobj srh,we just got done recording full of my new by show i m boss i m literally smiling with my closed sleep tired smile laugh laughing blessed thankful t,29,got done recording full new show boss literally smiling closed sleep tired smile laugh laughing blessed thankful,got done record full new show boss liter smile close sleep tire smile laugh laugh bless thank
3848,@HackswithHaggs I have ROKU and bought fobu to get NESN I canâ€™t also buy Hulu or ESPNII on top of what Iâ€™m already paying. Iâ€™m angry NHL is doing this shit. They will end up loosing fans.,9.4,hackswithhaggs i have roku and bought fobu to get nesn i can t also buy hulu or espnii on top of what i m already paying i m angry nhl is doing this shit they will end up loosing fans,i have and bought to get i can t also buy hulu or on top of what i m already paying i m angry is doing this they will end up loosing,32,bought get also buy hulu top already paying angry end loosing,bought get also buy hulu top alreadi pay angri end loos
3850,I'm stuck in a streaming black hole. No Roku on Cape Cod. No smart TV. No #Bruins for me. #RedSox and @BCHockey versus Colorado State.,9.4,i m stuck in a streaming black hole no roku on cape cod no smart tv no bruins for me redsox and bchockey versus colorado state,i m stuck in a streaming black hole no on cape cod no smart no for me and versus colorado state,21,stuck streaming black hole cape cod smart versus colorado state,stuck stream black hole cape cod smart versu colorado state
3854,"â€œA Digital Starry Nightâ€�: Snapped this before bed, these are lights from electronicsâ€¦microwave, ps4, a rokuâ€¦I canâ€™t unplug, and Iâ€™m not sure I want to. https://t.co/qeRXsOoy6K",9.4,a digital starry night snapped this before bed these are lights from electronics microwave ps a roku i can t unplug and i m not sure i want to https t co qerxsooy k,a digital starry night snapped this before bed these are from electronics microwave a i can t unplug and i m not sure i want to t k,28,digital starry night snapped bed electronics microwave unplug sure want,digit starri night snap bed electron microwav unplug sure want
3855,"Just realized we have the PBS Kids app for free on the Roku tvâ€¦ PBS kids was the Goat back then and is still the Goat today. 
 Nothing compares to them â€œno cableâ€� cartoons",9.4,just realized we have the pbs kids app for free on the roku tv pbs kids was the goat back then and is still the goat today nothing compares to them no cable cartoons,just we have the for free on the was the goat back then and is still the goat today nothing to them no cable,24,free goat back still goat today nothing cable,free goat back still goat today noth cabl
3861,"$BIIB low volume walkdown It's comical. OVERSOLD 
 

 $roku $tsla $aapl $msft $nnox $bynd $aal $dal $nkla $uber $amd $kodk $kndi $fb $amzn $zm $t $twtr $snap $nflx $baba $jd $goog $spy $spot $nio $wkhs $ivr $ba $mara $nvda $wmt $idex $pypl $fdx $googl $shop $ibm $cciv $zm $idex $ddd https://t.co/Mip9Xb1OwR",9.4,biib low volume walkdown it s comical oversold roku tsla aapl msft nnox bynd aal dal nkla uber amd kodk kndi fb amzn zm t twtr snap nflx baba jd goog spy spot nio wkhs ivr ba mara nvda wmt idex pypl fdx googl shop ibm cciv zm idex ddd https t co mip xb owr,low volume it s comical oversold aal dal t snap baba spy spot ba shop t,16,low volume comical oversold aal dal snap baba spy spot ba shop,low volum comic oversold aal dal snap baba spi spot ba shop
3868,@YouTubeTV You and @Roku really need to come to agreement. This is a joke you guys can't reach one and the customer suffers. Make a damn deal already and stop being babies about it.,9.4,youtubetv you and roku really need to come to agreement this is a joke you guys can t reach one and the customer suffers make a damn deal already and stop being babies about it,you and really need to come to agreement this is a joke you can t reach one and the customer make a damn deal already and stop being about it,30,really need come agreement joke reach customer make damn deal already stop,realli need come agreement joke reach custom make damn deal alreadi stop
3869,"Dear @Shudder, why in everything that's good and logical do you not have a ""Start from beginning"" option on your roku app? I'm having to spend 10 minutes rewinding a feature because fast forwarding it to the end only makes it repeat from where I started fast forwarding.",9.4,dear shudder why in everything that s good and logical do you not have a start from beginning option on your roku app i m having to spend minutes rewinding a feature because fast forwarding it to the end only makes it repeat from where i started fast forwarding,dear shudder why in everything that s good and logical do you not have a start from beginning option on your i m to spend a feature because fast forwarding it to the end only it repeat from where i fast forwarding,42,dear shudder everything good logical start beginning option spend feature fast forwarding end repeat fast forwarding,dear shudder everyth good logic start begin option spend featur fast forward end repeat fast forward
3873,"Um, @Roku , you are starting to sound like big cable. All of our TVs are Roku. We switched from cable to streaming to get away from the cable/network drama. Stop it. Seriously, just stop. #unhappycustomer
 https://t.co/mdLzouhQsb
 

 via @GoogleNews",9.4,um roku you are starting to sound like big cable all of our tvs are roku we switched from cable to streaming to get away from the cable network drama stop it seriously just stop unhappycustomer https t co mdlzouhqsb via googlenews,um you are starting to sound like big cable all of our are we switched from cable to streaming to get away from the cable network drama stop it seriously just stop t via,34,um starting sound like big cable switched cable streaming get away cable network drama stop seriously stop via,um start sound like big cabl switch cabl stream get away cabl network drama stop serious stop via
3875,Wondering if Edge hit my Roku like he did on Seth w/ that chair... B/c I think my Peacock is broken,9.4,wondering if edge hit my roku like he did on seth w that chair b c i think my peacock is broken,wondering if edge hit my like he did on seth w that chair b c i think my peacock is broken,21,wondering edge hit like seth chair think peacock broken,wonder edg hit like seth chair think peacock broken
3877,"Anyone elseâ€™s #ESPN #espnplus streams for #NHL games been really poor when not streaming on a computer? i.e. #Xbox #PS5 #Roku etc?
 

 Iâ€™m hardwired on the latest Gen Xbox, all of the #NYR streams so far have been incredibly choppy/stuttered. https://t.co/YL65HS4Dc9 wasnâ€™t like this",9.4,anyone else s espn espnplus streams for nhl games been really poor when not streaming on a computer i e xbox ps roku etc i m hardwired on the latest gen xbox all of the nyr streams so far have been incredibly choppy stuttered https t co yl hs dc wasn t like this,anyone else s for been really poor when not streaming on a computer i e i m on the latest gen all of the so far have been incredibly choppy t t like this,34,anyone else really poor streaming computer latest gen far incredibly choppy like,anyon els realli poor stream comput latest gen far incred choppi like
3878,@YouTubeTV @google. Fix your shit with @Roku or Iâ€™m going to Hulu. Stop being such an â€œEvilâ€� tech giant. Get it done!,9.4,youtubetv google fix your shit with roku or i m going to hulu stop being such an evil tech giant get it done,fix your with or i m going to hulu stop being such an evil tech giant get it done,19,fix going hulu stop evil tech giant get done,fix go hulu stop evil tech giant get done
3880,The League of Women Voterâ€™s BoE candidates forum has started. You can watch LIVE on Nashua ETV Ch 99 or via our live stream at https://t.co/RE38OXCaad or via our ROKU or Apple TV apps. Election is November 2,9.4,the league of women voter s boe candidates forum has started you can watch live on nashua etv ch or via our live stream at https t co re oxcaad or via our roku or apple tv apps election is november,the league of voter s forum you can watch live on or via our live stream at t re or via our or apple election is,26,league voter forum watch live via live stream via apple election,leagu voter forum watch live via live stream via appl elect
3885,"@papaalphakilo @ndtex @ndIRISHlc19 Weird, I have an LG tv and have HBOMax through it. I actually switched all our streaming over to the smart tv because YouTube TVâ€™s audio was lagging way behind on the Roku. Not looking back now.",9.4,papaalphakilo ndtex ndirishlc weird i have an lg tv and have hbomax through it i actually switched all our streaming over to the smart tv because youtube tv s audio was lagging way behind on the roku not looking back now,weird i have an and have through it i actually switched all our streaming over to the smart because s audio was lagging way behind on the not looking back now,31,weird actually switched streaming smart audio lagging way behind looking back,weird actual switch stream smart audio lag way behind look back
3886,Online gambling advertising is getting a little over the top when thereâ€™s a @FanDuel commercial on â€œBaby Einsteinâ€� @Roku channel. https://t.co/Oc2vbeeJXl,9.4,online gambling advertising is getting a little over the top when there s a fanduel commercial on baby einstein roku channel https t co oc vbeejxl,gambling advertising is getting a little over the top when there s a commercial on baby channel t,18,gambling advertising getting little top commercial baby channel,gambl advertis get littl top commerci babi channel
3888,"IUIC TV, Going Live Worldwide! Available on all streaming platforms. Easy access to #classes, #documentaries, and more! Download the app today! 
 

 WWW.IUIC. TV 
 #IUIC
 #APPLETV #ROKU #APPLE #ANDROID #AMAZONFIRESTICKÂ Â #SAMSUNGTV https://t.co/YvgvRFMeYS",9.4,iuic tv going live worldwide available on all streaming platforms easy access to classes documentaries and more download the app today www iuic tv iuic appletv roku apple android amazonfirestick samsungtv https t co yvgvrfmeys,going live available on all streaming easy access to classes and more the today apple android t,17,going live available streaming easy access classes today apple android,go live avail stream easi access class today appl android
3889,@KYShamrock721 Mostly antenna for reruns. (I'm watching The Waltons right now.) I have a Roku so I stream a few things.,9.4,kyshamrock mostly antenna for reruns i m watching the waltons right now i have a roku so i stream a few things,mostly antenna for i m watching the right now i have a so i stream a few,17,mostly antenna watching right stream,mostli antenna watch right stream
3891,@DanRayburn I still donâ€™t understand why Roku wants to stop being an agnostic streaming device. You never hear about these issues on @Xbox or @PlayStation. Roku seems to be fighting over getting its taste on subs rather than getting hardware out there. Guess no money in hardware.,9.4,danrayburn i still don t understand why roku wants to stop being an agnostic streaming device you never hear about these issues on xbox or playstation roku seems to be fighting over getting its taste on subs rather than getting hardware out there guess no money in hardware,i still don t understand why to stop being an agnostic streaming device you never hear about these on or to be fighting over getting its taste on rather than getting hardware out there guess no money in hardware,39,still understand stop agnostic streaming never hear fighting getting taste rather getting hardware guess money hardware,still understand stop agnost stream never hear fight get tast rather get hardwar guess money hardwar
3892,"@a_kribbs Roku is amazing
 I think using one since 2013, and I just replaced it last month, but it was working fine",9.4,a kribbs roku is amazing i think using one since and i just replaced it last month but it was working fine,a is amazing i think one since and i just it last month but it was working fine,18,amazing think since last month working fine,amaz think sinc last month work fine
3893,"@a_kribbs I would highly suggest getting a Roku device or a Chromecast or both
 I have two extra Roku devices if you can't afford it
 They're old but they work
 No subscription fees involved, no credit card required
 One older unit won't support Xfinity app or Prime video
 The other will",9.4,a kribbs i would highly suggest getting a roku device or a chromecast or both i have two extra roku devices if you can t afford it they re old but they work no subscription fees involved no credit card required one older unit won t support xfinity app or prime video the other will,a i would highly suggest getting a device or a or both i have two extra if you can t afford it they re old but they work no subscription involved no credit card one older unit won t support or prime video the other will,46,highly suggest getting two extra afford old work subscription involved credit card older unit support prime video,highli suggest get two extra afford old work subscript involv credit card older unit support prime video
3894,"$BIIB bought back $750 million worth of shares at $341 during bear smear. WHY?
 

 $JNJ $PKI $VRTX $BIIB $DGX $SYK $AMGN $MCK $EW $CI $UNH $PFE $MRK $LLY $ISRG $BAX $ABBV $BMY $ABC $MDT $AMC $AAPL $GOOG $INTC $AMZN $NVDA $ROKU $EBAY #stock #stocks #StockMarket #investing #Health https://t.co/6Z12ER0QhB",9.4,biib bought back million worth of shares at during bear smear why jnj pki vrtx biib dgx syk amgn mck ew ci unh pfe mrk lly isrg bax abbv bmy abc mdt amc aapl goog intc amzn nvda roku ebay stock stocks stockmarket investing health https t co z er qhb,bought back million worth of at during bear smear why stock stocks health t z er,16,bought back million worth bear smear stock stocks health er,bought back million worth bear smear stock stock health er
3895,"$BIIB being manipulated Truist gave a $502 target today, buys far outweigh sells. The cats out the bag. Short squeeze coming!âœˆ
 

 $JNJ $PKI $VRTX $BIIB $DGX $SYK $AMGN $MCK $EW $CI $UNH $PFE $MRK $LLY $ISRG $BAX $ABBV $BMY $ABC $MDT $AMC $AAPL $GOOG $INTC $AMZN $NVDA $ROKU $EBAY https://t.co/f3gYuulsQ5",9.4,biib being manipulated truist gave a target today buys far outweigh sells the cats out the bag short squeeze coming jnj pki vrtx biib dgx syk amgn mck ew ci unh pfe mrk lly isrg bax abbv bmy abc mdt amc aapl goog intc amzn nvda roku ebay https t co f gyuulsq,being gave a target today far outweigh the out the bag short squeeze coming t f,16,gave target today far outweigh bag short squeeze coming,gave target today far outweigh bag short squeez come
3897,Anyone know if itâ€™s possible to PiP on either @Roku (ie two different video apps at the same time) or within @YouTubeTV (two channels),9.4,anyone know if it s possible to pip on either roku ie two different video apps at the same time or within youtubetv two channels,anyone know if it s possible to pip on either ie two different video at the same time or within two,21,anyone know possible pip either ie two different video time within two,anyon know possibl pip either ie two differ video time within two
3898,"$BIIB HUGE NEWS TODAY Morgan Stanley gave a $440 &amp; it's only at $270! Smart money loading HEAVY. It's runningâ€�â™€ï¸�â€�â™‚ï¸�u see it!
 

 $NIO $AAPL $PT $FB $TSLA $MVIS $CRM $SPY $GME $FRSX $PINS $PM $ONTX $VVPR $AMD $FCEL $ATH $ACST
 $AMD $VXX $UVXY $SQQQ $NNDM
 $btc $eth $m $nvda $roku
 $BABA https://t.co/9M5tesko97",9.4,biib huge news today morgan stanley gave a amp it s only at smart money loading heavy it s running u see it nio aapl pt fb tsla mvis crm spy gme frsx pins pm ontx vvpr amd fcel ath acst amd vxx uvxy sqqq nndm btc eth m nvda roku baba https t co m tesko,huge news today morgan gave a it s only at smart money loading heavy it s running u see it spy m baba t m,25,huge news today morgan gave smart money loading heavy running see spy baba,huge news today morgan gave smart money load heavi run see spi baba
3899,"$BIIB HUGE NEWS TODAY! Morgan Stanley gave a $440 price target &amp; it's at $270!
 

 $JNJ $PKI $VRTX $BIIB $DGX $SYK $AMGN $MCK $EW $CI $UNH $PFE $MRK $LLY $ISRG $BAX $ABBV $BMY $ABC $MDT $AMC $AAPL $GOOG $INTC $AMZN $NVDA $ROKU $EBAY #stock #stocks #StockMarket #investing #Health https://t.co/9M5tesko97",9.4,biib huge news today morgan stanley gave a price target amp it s at jnj pki vrtx biib dgx syk amgn mck ew ci unh pfe mrk lly isrg bax abbv bmy abc mdt amc aapl goog intc amzn nvda roku ebay stock stocks stockmarket investing health https t co m tesko,huge news today morgan gave a price target it s at stock stocks health t m,16,huge news today morgan gave price target stock stocks health,huge news today morgan gave price target stock stock health
3901,"Watch the Durham City Council work session livestream today at 1 p.m.
 âž¡ï¸� https://t.co/nvglh6PNZx
 âž¡ï¸� Spectrum 8, Google Fiber 8, Frontier 70, AT&amp;T U-verse 99
 âž¡ï¸� Roku, Apple TV &amp; Amazon Fire TV (Boxcast app)
 âž¡ï¸� https://t.co/qfLPpWu4NN https://t.co/qL5if1VO2J",9.4,watch the durham city council work session livestream today at p m https t co nvglh pnzx spectrum google fiber frontier at amp t u verse roku apple tv amp amazon fire tv boxcast app https t co qflppwu nn https t co ql if vo j,watch the city council work session today at p m t spectrum fiber frontier at t u verse apple fire t t if j,24,watch city council work session today spectrum fiber frontier verse apple fire,watch citi council work session today spectrum fiber frontier vers appl fire
3902,"@RichLightShed Roku loses this battle. 
 

 Iâ€™m this exact customer and when I decide or need to replace any roku dongles, it will be for what plays @YouTubeTV best and supports my other apps. 
 

 Also, it wonâ€™t be for any of the current hardware companies OS either.",9.4,richlightshed roku loses this battle i m this exact customer and when i decide or need to replace any roku dongles it will be for what plays youtubetv best and supports my other apps also it won t be for any of the current hardware companies os either,this battle i m this exact customer and when i decide or need to replace any it will be for what best and my other also it won t be for any of the current hardware os either,38,battle exact customer decide need replace best also current hardware os either,battl exact custom decid need replac best also current hardwar os either
3904,"@NBALPSupport I can't select my team's broadcast + I get multiple URL errors when I select the home team broadcast. Happened 2x tonight. Resetting my Roku doesn't help. Nearly 10 minutes lost.
 

 First:
 https://t.co/OZa4GId0K3
 Second:
 https://t.co/aAbYY9yfSU",9.4,nbalpsupport i can t select my team s broadcast i get multiple url errors when i select the home team broadcast happened x tonight resetting my roku doesn t help nearly minutes lost first https t co oza gid k second https t co aabyy yfsu,i can t select my team s broadcast i get multiple when i select the home team broadcast x tonight my t help nearly lost first t gid k second t,31,select team broadcast get multiple select home team broadcast tonight help nearly lost first gid second,select team broadcast get multipl select home team broadcast tonight help nearli lost first gid second
3906,"Anyone else that streams NBA League Pass having issues? Canâ€™t get any games to play. Roku TV, I-Pad or my phone. Nothing. Sent an email to support.",9.4,anyone else that streams nba league pass having issues can t get any games to play roku tv i pad or my phone nothing sent an email to support,anyone else that league pass can t get any to play i pad or my phone nothing sent an to support,21,anyone else league pass get play pad phone nothing sent support,anyon els leagu pass get play pad phone noth sent support
3908,"@Max_Lederman No I didnâ€™t, Iâ€™m streaming it w/ my crappy Roku so it came on during tip-off.",9.4,max lederman no i didn t i m streaming it w my crappy roku so it came on during tip off,no i t i m streaming it w my so it came on during tip off,16,streaming came tip,stream came tip
3909,"Between boosters and shots for kids, thereâ€™s been a lot of vaccination news today. So let me introduce you to the Little Elm man whose invention is playing a crucial role. 
 

 Watch the story from the link or on our @NBCDFW Roku, Apple TV or Fire apps. https://t.co/LMKgPMJSkJ",9.4,between boosters and shots for kids there s been a lot of vaccination news today so let me introduce you to the little elm man whose invention is playing a crucial role watch the story from the link or on our nbcdfw roku apple tv or fire apps https t co lmkgpmjskj,between and for there s been a lot of vaccination news today so let me introduce you to the little elm man whose invention is a crucial role watch the story from the link or on our apple or fire t,41,lot vaccination news today let introduce little elm man whose invention crucial role watch story link apple fire,lot vaccin news today let introduc littl elm man whose invent crucial role watch stori link appl fire
3914,@Roku I'm enjoying the new update and the ability of 5.1 so now I'm wanting to know if the system is heading to double Subwoofers,9.4,roku i m enjoying the new update and the ability of so now i m wanting to know if the system is heading to double subwoofers,i m enjoying the new update and the ability of so now i m wanting to know if the system is heading to double,24,enjoying new update ability wanting know system heading double,enjoy new updat abil want know system head doubl
3915,"$BIIB DRUG WORKS!! $400+ easy!âœˆhttps://t.co/LY0lws5pK2
 

 $TSLA $AMZN $AAPL $AMC $NVDA $FB $MSFT $MRNA $ROKU $BABA $BA $AMD $CLOV $WISH $SHOP $SQ $NIO $GOOGL $NFLX $GOOG $JPM $PLUG $F $ABNB $DIS $PLTR $SNAP $MU $C $PYPL $ENTX $FUTU $ORPH $BAC $TWTR $TSM $XOM $UBER $CRM $DE",9.4,biib drug works easy https t co ly lws pk tsla amzn aapl amc nvda fb msft mrna roku baba ba amd clov wish shop sq nio googl nflx goog jpm plug f abnb dis pltr snap mu c pypl entx futu orph bac twtr tsm xom uber crm de,drug works easy t ly baba ba wish shop plug f dis snap mu c bac de,17,drug works easy ly baba ba wish shop plug dis snap mu bac de,drug work easi ly baba ba wish shop plug di snap mu bac de
3916,"$BIIB Ye gave a $500 price target on @cnbc can break $300s by next Friday imo. SQUEEZE!!https://t.co/RDjJGwUULY
 

 $TTD $TDOC $TSLA $Z $ETSY $QCOM $NFLX $UBER $INTC $PLNT $MU $SNBR $CCIV $SBUX $LYFT $SQ $MELI $BA $LMND $FVRR $TWLO $PINS $ROKU $SNAP $BILI $SNOW $TWTR $AMD $AMC",9.4,biib ye gave a price target on cnbc can break s by next friday imo squeeze https t co rdjjgwuuly ttd tdoc tsla z etsy qcom nflx uber intc plnt mu snbr cciv sbux lyft sq meli ba lmnd fvrr twlo pins roku snap bili snow twtr amd amc,ye gave a price target on can break s by next squeeze t z mu ba snap snow,18,ye gave price target break next squeeze mu ba snap snow,ye gave price target break next squeez mu ba snap snow
3918,"$BIIB Ye gave a $500 price target on @cnbc Can be trading at $330s+ by Friday imo
 https://t.co/RDjJGwUULY
 $NIO $AAPL $PT $FB $TSLA $MVIS $CRM $SPY $GME $FRSX $PINS $PM $ONTX $VVPR $AMD $FCEL $ATH $ACST
 $AMD $VXX $UVXY $SQQQ $NNDM
 $btc $eth $m $nvda $roku
 $BABA",9.4,biib ye gave a price target on cnbc can be trading at s by friday imo https t co rdjjgwuuly nio aapl pt fb tsla mvis crm spy gme frsx pins pm ontx vvpr amd fcel ath acst amd vxx uvxy sqqq nndm btc eth m nvda roku baba,ye gave a price target on can be trading at s by t spy m baba,16,ye gave price target trading spy baba,ye gave price target trade spi baba
3921,"$BIIB up 2.73% &amp; October 29 $292 calls are DOWN!!! Pure manipulation! I'm gonna get some. HUGE SHORT SQUEEZE COMING 
 

 $DOCU $CRWD $ETSY $SQ $MSFT $ZM $BABA $BYND $SPY $AMZN $AAPL $BA $TSLA $AMD $ROKU $FB $TWLO $PYPL $AMC $SNAP $NIO $MSTR $RBLX $SHOP $UPST $DIS $XPEV $QQQ $SPY https://t.co/5U5Zv2cOxF",9.4,biib up amp october calls are down pure manipulation i m gonna get some huge short squeeze coming docu crwd etsy sq msft zm baba bynd spy amzn aapl ba tsla amd roku fb twlo pypl amc snap nio mstr rblx shop upst dis xpev qqq spy https t co u zv coxf,up are down pure manipulation i m get some huge short squeeze coming baba spy ba snap shop dis spy t u,22,pure manipulation get huge short squeeze coming baba spy ba snap shop dis spy,pure manipul get huge short squeez come baba spi ba snap shop di spi
3922,"IUIC TV, Going Live Worldwide! Available on all streaming platforms. Easy access to #classes, #documentaries, and more! Download the app today! 
 

 WWW.IUIC. TV 
 #IUIC
 #APPLETV #ROKU #APPLE #ANDROID #AMAZONFIRESTICKÂ Â #SAMSUNGTV https://t.co/uGQGHQSedI",9.4,iuic tv going live worldwide available on all streaming platforms easy access to classes documentaries and more download the app today www iuic tv iuic appletv roku apple android amazonfirestick samsungtv https t co ugqghqsedi,going live available on all streaming easy access to classes and more the today apple android t,17,going live available streaming easy access classes today apple android,go live avail stream easi access class today appl android
3923,avatar roku and fire lord sozinâ€™s unresolved homosexual tension caused an entire war that tore apart their world,9.4,avatar roku and fire lord sozin s unresolved homosexual tension caused an entire war that tore apart their world,and fire lord sozin s unresolved homosexual tension an entire war that tore apart their world,16,fire lord sozin unresolved homosexual tension entire war tore apart world,fire lord sozin unresolv homosexu tension entir war tore apart world
3927,"OKAY good so everyoneâ€™s TNT @Roku app has just crashed in the middle of the damn gameâ€¦.cute, glad itâ€™s not just me. Iâ€™m so annoyed.",9.4,okay good so everyone s tnt roku app has just crashed in the middle of the damn game cute glad it s not just me i m so annoyed,good so everyone s just in the middle of the damn game cute glad it s not just me i m so,22,good everyone middle damn game cute glad,good everyon middl damn game cute glad
